paper_id,status,changed_fields,corrupted_occurrences,baseline_title,corrupted_title,baseline_published,corrupted_published,baseline_summary_chars,corrupted_summary_chars
10.2118/234689-pa,removed,record,0,SafeRAG: A Large-Language-Model-Based Multistage Retrieval-Augmented Framework for Oil and Gas Safety Report Generation,,2026-08-05,,1404,
10.1007/s10278-026-02086-9,removed,record,0,JADE-Plus: A Multimodal Agentic Retrieval-Augmented Generation Large Language Framework for Diagnostic Support in Jawbone Lesions: Development and Technical Validation Study,,2026-07-13,,1875,
10.21203/rs.3.rs-10178277/v1,removed,record,0,Retrieval-Augmented Large-Language-Model-Based Time-Series Forecasting for Cross-Market Equity Analysis,,2026-07-10,,1945,
10.2196/preprints.106157,removed,record,0,Does retrieval-augmented generation impact medical students’ perceptions of large language models? (Preprint),,2026-07-03,,1765,
10.3390/buildings16132637,unchanged,,1,"An Agentic AI System for Roof Design Compliance Using Computer Vision, Retrieval-Augmented Generation and Large Language Models","An Agentic AI System for Roof Design Compliance Using Computer Vision, Retrieval-Augmented Generation and Large Language Models",2026-07-02,2026-07-02,2207,2207.0
10.21079/11681/50309,unchanged,,1,Microsoft Azure artificial intelligence / machine learning hackathon for development of retrieval-augmented generation large language model,Microsoft Azure artificial intelligence / machine learning hackathon for development of retrieval-augmented generation large language model,2026-07-01,2026-07-01,834,834.0
10.63646/kpqm1958,unchanged,,1,"The Age of Autonomous Agents: A Bibliometric Review of Agentic AI Architectures, Applications, and Emerging Challenges","The Age of Autonomous Agents: A Bibliometric Review of Agentic AI Architectures, Applications, and Emerging Challenges",2026-06-30,2026-06-30,1635,1635.0
10.1111/exsy.70341,modified_and_duplicated,"published, age_days, text_for_embedding, duplicate_count",2,Hi‐ RAG : A Hierarchical Retrieval‐Augmented Generation Framework for Scalable and Generalisable Tool Selection in Large Language Model Agents,Hi‐ RAG : A Hierarchical Retrieval‐Augmented Generation Framework for Scalable and Generalisable Tool Selection in Large Language Model Agents,2026-06-30,2016-08-08,1518,1518.0
10.47576/2949-1894.2026.7.7.023,duplicated,duplicate_count,2,Снижение рисков применения LLM (Large Language Model) в сфере экономической безопасности предприятий молочной промышленности на основе подхода RAG (Retrieval-Augmented Generation),Снижение рисков применения LLM (Large Language Model) в сфере экономической безопасности предприятий молочной промышленности на основе подхода RAG (Retrieval-Augmented Generation),2026-06-15,2026-06-15,1597,1597.0
10.21203/rs.3.rs-10012178/v1,modified,"title, summary, text_for_embedding",1,"Retrieval-Augmented Generation (RAG), Generative AI, and Agentic AI Governance: An Integrated Enterprise Governance Prioritization Architecture",Retrieval-Au,2026-06-15,2026-06-15,2610,0.0
